"","X","Vicuna.RAI","Shannon.Index","Chinchillula.sahamae","Lagidium.viscacia","Lycalopex.culpaeus","Vicugna.vicugna","Hippocamelus.antisensis","Muscisaxicola.cinereus","Leopardus.pajeros","Muscisaxicola.griseus","Leopardus.jacobitus","Geospizopsis.unicolor","Asthenes.humilis","Idiopsar.speculifer","Muscisaxicola.flavinucha","Cinclodes.albiventris","Puma.concolor","Muscisaxicola.juninensis","Buteo.polyosoma","Punomys.kofordi","Chloephaga.melanoptera","Attagis.gayi","Phalcoboenus.megalopterus","Geospizopsis.plebejus","Tinamotis.pentlandii","Spinus.atratus","Lepus.europaeus","Bubo.magellanicus","Falco.femoralis","Gallinago.andina","Muscisaxicola.frontalis","Muscisaxicola.albilora","Thinocorus.orbignyianus","Phyllotis.osilae","Muscisaxicola.maculirostris","Calomys.lepidus","Animal.Richness","latrine","Observed","Shannon","elevation","InvSimpson","Pielou","replicate","latrine_trt_month","month-collected"
"30","L85",0.36,1.12907356,4,201,13,2,0,4,3,2,1,5,5,21,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,"L85",375,3.95494614403504,5234,17.1456847875482,0.396042225190088,1,"L85_latrine_wet","wet"
"31","L85",0.36,1.12907356,4,201,13,2,0,4,3,2,1,5,5,21,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,"L85",415,4.07082892194146,5234,15.6959342206916,0.407646548372209,2,"L85_latrine_wet","wet"
"32","L86",3.47,1.717018967,28,401,21,94,2,23,0,58,0,8,12,44,2,14,0,20,0,0,0,3,2,0,0,4,0,0,0,0,0,1,0,1,1,1,20,"L86",609,3.63529931295212,5211,9.13661523192648,0.364033283058734,1,"L86_latrine_dry","dry"
"33","L86",3.47,1.717018967,28,401,21,94,2,23,0,58,0,8,12,44,2,14,0,20,0,0,0,3,2,0,0,4,0,0,0,0,0,1,0,1,1,1,20,"L86",826,4.97365517230859,5211,36.4954995126557,0.498054180773146,1,"L86_latrine_wet","wet"
"34","L86",3.47,1.717018967,28,401,21,94,2,23,0,58,0,8,12,44,2,14,0,20,0,0,0,3,2,0,0,4,0,0,0,0,0,1,0,1,1,1,20,"L86",838,5.01644835181434,5211,32.6869952961427,0.502339423964125,2,"L86_latrine_wet","wet"
"35","L86",3.47,1.717018967,28,401,21,94,2,23,0,58,0,8,12,44,2,14,0,20,0,0,0,3,2,0,0,4,0,0,0,0,0,1,0,1,1,1,20,"L86",645,4.75552932863549,5211,36.7911414731045,0.476211394208264,2,"L86_latrine_dry","dry"
"36","L87",3.03,1.084242605,0,98,19,29,1,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"L87",NA,NA,NA,NA,NA,NA,NA,NA
"37","L91",6.1,1.523432412,0,147,27,85,3,1,1,1,0,0,1,7,0,7,0,0,1,0,0,8,5,0,12,0,0,0,0,0,0,0,0,0,0,0,14,"L91",630,4.27590554341799,5192,14.1040602167196,0.42818260589262,1,"L91_latrine_dry","dry"
"38","L91",6.1,1.523432412,0,147,27,85,3,1,1,1,0,0,1,7,0,7,0,0,1,0,0,8,5,0,12,0,0,0,0,0,0,0,0,0,0,0,14,"L91",872,4.92046686093088,5192,29.8239215175485,0.492727985061504,2,"L91_latrine_dry","dry"
"39","L91",6.1,1.523432412,0,147,27,85,3,1,1,1,0,0,1,7,0,7,0,0,1,0,0,8,5,0,12,0,0,0,0,0,0,0,0,0,0,0,14,"L91",932,5.20254252406817,5192,30.8325966023296,0.520974608209421,1,"L91_latrine_wet","wet"
"40","L91",6.1,1.523432412,0,147,27,85,3,1,1,1,0,0,1,7,0,7,0,0,1,0,0,8,5,0,12,0,0,0,0,0,0,0,0,0,0,0,14,"L91",941,4.28201895408358,5192,9.00665422035145,0.428794793435845,2,"L91_latrine_wet","wet"
"41","L93",6.82,0.9953746578,0,134,10,69,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,"L93",NA,NA,NA,NA,NA,NA,NA,NA
"42","L94",5.6,1.283814898,0,180,17,48,2,9,0,11,0,1,3,1,0,1,1,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,14,"L94",NA,NA,NA,NA,NA,NA,NA,NA
